Organism_Name	Temperature_Range
Shewanella violacea DSS12	Psychrophile
Psychromonas ingrahamii 37	Psychrophile
Desulfotalea psychrophila LSv54	Psychrophile
Colwellia psychrerythraea 34H	Psychrophile
Aequorivita sublithincola DSM 14238	Psychrophile
Shewanella halifaxensis HAW-EB4	Mesophile
Aliivibrio salmonicida LFI1238	Mesophile
Renibacterium salmoninarum ATCC 33209	Mesophile
Shewanella sediminis HAW-EB3	Mesophile
Nostoc punctiforme PCC 73102	Mesophile
Terriglobus saanensis SP1PR4	Mesophile
Granulicella tundricola MP5ACTX9	Mesophile
Cellulophaga algicola DSM 14237	Mesophile
Leisingera methylohalidivorans DSM 14336	Mesophile
Polaromonas naphthalenivorans CJ2	Mesophile
Psychrobacter cryohalolentis K5	Mesophile
Psychrobacter arcticus 273-4	Mesophile
Treponema azotonutricium ZAS-9	Mesophile
Prochlorococcus marinus subsp. marinus str. CCMP1375	Mesophile
Sulfurimonas denitrificans DSM 1251	Mesophile
Pseudoalteromonas atlantica T6c	Mesophile
Sulfurimonas autotrophica DSM 16294	Mesophile
Chlorobium phaeobacteroides DSM 266	Mesophile
Gramella forsetii KT0803	Mesophile
Chlorobium limicola DSM 245	Mesophile
Prosthecochloris aestuarii DSM 271	Mesophile
Flavobacterium johnsoniae UW101	Mesophile
Candidatus Amoebophilus asiaticus 5a2	Mesophile
Chlorobaculum parvum NCIB 8327	Mesophile
Marivirga tractuosa DSM 4126	Mesophile
Runella slithyformis DSM 19594	Mesophile
Cellulophaga lytica DSM 7489	Mesophile
Muricauda ruestringensis DSM 13258	Mesophile
Cyclobacterium marinum DSM 745	Mesophile
Solitalea canadensis DSM 3403	Mesophile
Bernardetia litoralis DSM 6794	Mesophile
Rhodospirillum rubrum F11	Mesophile
Methylocella silvestris BL2	Mesophile
Rhodomicrobium vannielii ATCC 17100	Mesophile
Magnetococcus marinus MC-1	Mesophile
Rhodoferax ferrireducens T118	Mesophile
Leptothrix cholodnii SP-6	Mesophile
Methylotenera versatilis 301	Mesophile
Geobacter lovleyi SZ	Mesophile
Arcobacter nitrofigilis DSM 7299	Mesophile
Sulfuricurvum kujiense DSM 16994	Mesophile
Halorhodospira halophila SL1	Mesophile
Hahella chejuensis KCTC 2396	Mesophile
Shewanella pealeana ATCC 700345	Mesophile
Shewanella woodyi ATCC 51908	Mesophile
Halothiobacillus neapolitanus c2	Mesophile
Allochromatium vinosum DSM 180	Mesophile
Marinomonas mediterranea MMB-1	Mesophile
Marichromatium purpuratum 984	Mesophile
Glaciecola nitratireducens FR1064	Mesophile
Thiocystis violascens DSM 198	Mesophile
Vibrio atlanticus	Mesophile
Simkania negevensis Z	Mesophile
Parachlamydia acanthamoebae UV-7	Mesophile
Waddlia chondrophila WSU 86-1044	Mesophile
Coraliomargarita akajimensis DSM 45221	Mesophile
Sphaerochaeta globosa str. Buddy	Mesophile
Sphaerochaeta pleomorpha str. Grapes	Mesophile
Nakamurella multipartita DSM 44233	Mesophile
Microlunatus phosphovorus NM-1	Mesophile
Acaryochloris marina MBIC11017	Mesophile
Terriglobus roseus DSM 18391	Mesophile
Niastella koreensis GR20-10	Mesophile
Haliscomenobacter hydrossis DSM 1100	Mesophile
Hyphomonas neptunium ATCC 15444	Mesophile
Desulfobacterium autotrophicum HRM2	Mesophile
Marinomonas posidonica IVIA-Po-181	Mesophile
Pseudoalteromonas translucida	Mesophile
Pirellula staleyi DSM 6068	Mesophile
Gloeobacter violaceus PCC 7421	Mesophile
Zunongwangia profunda SM-A87	Mesophile
Pedobacter heparinus DSM 2366	Mesophile
Saprospira grandis str. Lewin	Mesophile
Beijerinckia indica subsp. indica ATCC 9039	Mesophile
Hyphomicrobium denitrificans ATCC 51888	Mesophile
Methylibium petroleiphilum PM1	Mesophile
Verminephrobacter eiseniae EF01-2	Mesophile
Sideroxydans lithotrophicus ES-1	Mesophile
Desulfurispirillum indicum S5	Mesophile
Fluviicola taffensis DSM 16823	Mesophile
Nitrobacter hamburgensis X14	Mesophile
Nitrobacter winogradskyi Nb-255	Mesophile
