target_id	length	eff_length	est_counts	tpm
lcl|NC_023151.1_cds_WP_004080636.1_1	1323	1084.95	305	147.927
lcl|NC_023151.1_cds_WP_004080637.1_2	942	683.345	364	280.298
lcl|NC_023151.1_cds_WP_004080638.1_3	861	599.455	236	207.164
lcl|NC_023151.1_cds_WP_004080639.1_4	1134	859.248	660	404.189
lcl|NC_023151.1_cds_WP_015646132.1_5	1497	1349.27	744	290.158
lcl|NC_023151.1_cds_WP_004080641.1_6	465	206.486	159	405.197
lcl|NC_023151.1_cds_WP_004080642.1_7	1080	888.292	961	569.281
lcl|NC_023151.1_cds_WP_004080643.1_8	417	215.067	345	844.121
lcl|NC_023151.1_cds_WP_004080644.1_9	1986	1768.47	1922.33	571.99
lcl|NC_023151.1_cds_WP_004080645.1_10	930	695.967	126	95.2666
lcl|NC_023151.1_cds_WP_004080646.1_11	855	648.213	301	244.347
lcl|NC_023151.1_cds_WP_004080647.1_12	717	492.408	310	331.28
lcl|NC_023151.1_cds_WP_004080648.1_13	642	361.291	181	263.621
lcl|NC_023151.1_cds_WP_004080649.1_14	768	549.567	251	240.332
lcl|NC_023151.1_cds_WP_004080650.1_15	990	751.273	709	496.601
lcl|NC_023151.1_cds_WP_004080652.1_16	1032	842.007	551	344.346
lcl|NC_023151.1_cds_WP_010865219.1_17	777	551.886	204	194.509
lcl|NC_023151.1_cds_WP_008193133.1_18	1125	893.257	356	209.717
lcl|NC_023151.1_cds_WP_004080658.1_19	2037	1879.05	485	135.819
lcl|NC_023151.1_cds_WP_004080660.1_20	1137	821.915	303	193.988
lcl|NC_023151.1_cds_WP_004080662.1_21	828	567.2	278	257.909
lcl|NC_023151.1_cds_WP_004080664.1_22	690	470.239	133	148.831
lcl|NC_023151.1_cds_WP_004080665.1_23	618	386.851	172	233.961
lcl|NC_023151.1_cds_WP_004080666.1_24	474	262.992	136	272.117
lcl|NC_023151.1_cds_WP_004080667.1_25	663	402.242	215	281.262
lcl|NC_023151.1_cds_WP_008193125.1_26	306	107.001	87	427.848
lcl|NC_023151.1_cds_WP_004080669.1_27	483	271.611	112	216.985
lcl|NC_023151.1_cds_WP_004080671.1_28	666	421.243	254	317.293
lcl|NC_023151.1_cds_WP_004080673.1_29	231	37.0315	278	3950.33
lcl|NC_023151.1_cds_WP_004080683.1_30	276	77.0924	545	3720.01
lcl|NC_023151.1_cds_WP_004080684.1_31	1011	830.083	775	491.291
lcl|NC_023151.1_cds_WP_004080686.1_32	1461	1242.98	2735	1157.85
lcl|NC_023151.1_cds_WP_008193116.1_33	630	402.906	151	197.211
lcl|NC_023151.1_cds_WP_004080690.1_34	714	496.416	147	155.823
lcl|NC_023151.1_cds_WP_004080692.1_35	606	420.251	210	262.948
lcl|NC_023151.1_cds_WP_004080695.1_36	1035	872.532	357	215.301
lcl|NC_023151.1_cds_WP_004080697.1_37	1506	1366.74	415	159.78
lcl|NC_023151.1_cds_WP_004080699.1_38	1131	904.9	323	187.828
lcl|NC_023151.1_cds_WP_004080702.1_39	609	405.819	143	185.423
lcl|NC_023151.1_cds_WP_004080704.1_40	411	210.703	193	481.997
lcl|NC_023151.1_cds_WP_004080706.1_41	1932	1740.39	517	156.316
lcl|NC_023151.1_cds_WP_004080707.1_42	558	353.776	121	179.976
